filename,condition,sample_name,biorep,histone
processed_liver_10mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_4,4,H3.2
processed_liver_10mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_4,4,H3.3
processed_liver_18mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_18mo,liver_18mo_1,1,H3.2
processed_liver_18mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_18mo,liver_18mo_1,1,H3.3
processed_liver_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_18mo,liver_18mo_2,2,H3.2
processed_liver_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_18mo,liver_18mo_2,2,H3.3
processed_liver_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_24mo,liver_24mo_1,1,H3.2
processed_liver_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_24mo,liver_24mo_1,1,H3.3
processed_liver_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_24mo,liver_24mo_2,2,H3.2
processed_liver_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_24mo,liver_24mo_2,2,H3.3
processed_brain_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_1,1,H3.2
processed_brain_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_1,1,H3.3
processed_brain_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,brain_3mo,brain_3mo_2,2,H3.2
